dataset,capability,mechanism,mechanism_status,units,mean_effect,median_effect,q25_effect,q75_effect,p90_effect,ci_lower_95,ci_upper_95,execution_path_difference_rate,materially_favorable_rate,materially_adverse_rate,mean_switch_reduction,counterexamples,active_minus_inactive_effect
M5,ensemble_rate_limiting,rate_cap_activation,active,106,7.421993231845296,0.0,0.0,0.0,0.0,-4.699992570312773,19.59617467492435,0.11320754716981132,0.018867924528301886,0.0660377358490566,,104,7.421993231845296
M5,ensemble_rate_limiting,rate_cap_activation,inactive,275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,7.421993231845296
M5,governance_aware_dp,switch_budget_binding,active,442,-107.03334845798108,-1.5,-13.87642047428011,-0.5,273.51407031316137,-204.28586333988275,-14.332201102048886,0.6085972850678733,0.22850678733031674,0.16968325791855204,3.8574660633484164,341,-107.25546673955786
M5,governance_aware_dp,switch_budget_binding,inactive,358,0.2221182815767766,0.0,0.0,0.0,0.0,-0.6271130151493434,1.3341861572392273,0.0223463687150838,0.002793296089385475,0.002793296089385475,-0.002793296089385475,2,-107.25546673955786
M5,horizon_aware_dp,backlog_persistence,active,94,-380.52098017248784,-157.95684484333947,-1458.8264218406543,392.4769132512938,1178.992242857146,-852.2191893078531,153.73752327641841,0.9468085106382979,0.5212765957446809,0.3191489361702128,,45,680.2181030929022
M5,horizon_aware_dp,backlog_persistence,inactive,6,-1060.73908326539,212.50419090714274,61.93862376711548,262.25077573787127,322.98176305096763,-3624.5638680828774,276.00159919897516,1.0,0.16666666666666666,0.8333333333333334,,6,680.2181030929022
M5,horizon_aware_dp,frozen_action_restriction,unmeasured,100,-1399.5080855090762,-756.6018229959318,-1939.6283097036023,-123.99401795081098,351.09031357059825,-1984.0769414776548,-881.9164757745506,0.99,0.77,0.16,,0,
M5,horizon_aware_dp,pipeline_carryover,active,100,-2759.9848580907646,-2030.856753249258,-3986.221284931715,-245.9665777481149,382.86427711760876,-3588.935925333457,-1982.7457793364229,0.99,0.79,0.16,,21,
M5,horizon_aware_dp,switching_sequence_dependence,active,90,-1262.8279667929328,-681.4975407161616,-1751.4675462723476,-11.824112411290798,680.8935264307082,-1893.3210071278102,-742.7777350532137,0.9888888888888889,0.7444444444444445,0.2,,23,28.66458583427152
M5,horizon_aware_dp,switching_sequence_dependence,inactive,10,-1291.4925526272043,-1051.2188383090918,-2234.2377675559555,-198.3510672178769,24.520676839201958,-2094.6174762425726,-554.1525193223098,1.0,0.8,0.1,,9,28.66458583427152
Walmart,ensemble_rate_limiting,rate_cap_activation,active,9,24.55867824074813,0.0,0.0,73.67603472224438,73.67603472224438,0.0,49.11735648149626,0.3333333333333333,0.0,0.0,,9,24.55867824074813
Walmart,ensemble_rate_limiting,rate_cap_activation,inactive,291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0,24.55867824074813
Walmart,governance_aware_dp,switch_budget_binding,active,559,20910.654638240132,-0.5,-555.2328953572851,10912.38586246781,76596.17765379159,12747.719895317001,29258.603967021925,0.7871198568872988,0.148479427549195,0.295169946332737,3.516994633273703,476,21064.069054300373
Walmart,governance_aware_dp,switch_budget_binding,inactive,241,-153.41441606024097,0.0,0.0,0.0,0.0,-395.7953493623283,28.82483485839739,0.03319502074688797,0.008298755186721992,0.0,-0.016597510373443983,2,21064.069054300373
Walmart,horizon_aware_dp,backlog_persistence,active,93,-286693.36407704593,-18967.821844555438,-432931.45418705116,4.0,11030.623852250003,-387205.9910032164,-194046.3732003411,0.7096774193548387,0.5376344086021505,0.10752688172043011,,43,-313980.2136020454
Walmart,horizon_aware_dp,backlog_persistence,inactive,7,27286.849524999445,3036.395059398201,70.52875477415091,23962.761170667887,73959.51946851578,3024.029828731366,67339.99212772823,0.8571428571428571,0.14285714285714285,0.7142857142857143,,6,-313980.2136020454
Walmart,horizon_aware_dp,frozen_action_restriction,unmeasured,100,-149876.1643762312,-3390.222645706046,-66385.11003960192,9882.115733179642,92843.78410402554,-249994.96214855593,-63234.38640398176,0.95,0.55,0.35,,0,
Walmart,horizon_aware_dp,pipeline_carryover,active,100,-273145.0285606687,-9088.398484619642,-382015.1439254058,25329.813122180523,173224.63491575568,-398470.3378393078,-158698.4576737799,0.96,0.53,0.33,,47,
Walmart,horizon_aware_dp,switching_sequence_dependence,active,100,-203522.5301830237,-39684.57516323443,-185861.7240650142,11.5,26863.529205063944,-310126.0101913063,-114557.22673371172,0.95,0.7,0.21,,30,
