dataset,unit_id,regime_id,capability,mechanism,mechanism_status,activation_measure,reference_cost,capability_cost,paired_cost_effect,switch_reduction,execution_agreement,evidence_source,materially_favorable,materially_adverse,counterexample_flag
M5,FOODS__CA_1,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,16237.433357967575,16237.433357967575,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_2,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,15648.032613654388,15648.032613654388,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_3,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,18524.909278956697,18524.909278956697,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_4,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,9805.115258107517,9805.115258107517,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_1,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,23139.53122044549,23139.53122044549,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_2,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,43065.28113246252,43065.28113246252,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_3,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,28295.883558276426,28295.883558276426,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_1,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,6773.7754117748245,6773.7754117748245,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_2,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,59011.571314381574,59011.571314381574,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_3,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,69915.61886478128,69915.61886478128,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,HOUSEHOLD__CA_3,family_frozen_parameter_recalibrated,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,12799.707835810326,12799.707835810326,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_1,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,16237.433357967575,16237.433357967575,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_2,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,15648.032613654388,15648.032613654388,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_3,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,18524.909278956697,18524.909278956697,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_4,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,9805.115258107517,9805.115258107517,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_1,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,23139.53122044549,23139.53122044549,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_2,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,43065.28113246252,43065.28113246252,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_3,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,28295.883558276426,28295.883558276426,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_1,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,6773.7754117748245,6773.7754117748245,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_2,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,59011.571314381574,59011.571314381574,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_3,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,69915.61886478128,69915.61886478128,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,HOUSEHOLD__CA_3,fully_in_domain_tuned,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,12799.707835810326,12799.707835810326,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_1,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,16237.433357967575,16237.433357967575,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_2,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,15648.032613654388,15648.032613654388,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_3,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,18524.909278956697,18524.909278956697,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__CA_4,strict_frozen,ensemble_rate_limiting,rate_cap_activation,active,0.14285714285714285,9805.115258107517,9805.115258107517,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,True
M5,FOODS__TX_1,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,23139.53122044549,23139.53122044549,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_2,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,43065.28113246252,43065.28113246252,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__TX_3,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,28295.883558276426,28295.883558276426,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_1,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,6773.7754117748245,6773.7754117748245,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_2,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,59011.571314381574,59011.571314381574,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,FOODS__WI_3,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,69915.61886478128,69915.61886478128,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
M5,HOUSEHOLD__CA_3,strict_frozen,ensemble_rate_limiting,rate_cap_activation,inactive,0.0,12799.707835810326,12799.707835810326,0.0,,True,results/working/rate_limiter_mechanism_audit.csv,False,False,False
