analysis,dataset,scenario,holding_weight,backlog_weight,order_change_weight,switching_weight,units,capability_mean_cost,reference_mean_cost,cost_difference,cost_difference_pct,favorable_direction,path_recomputed,winner_agreement_rate,exact_cost_equivalence_rate,p90_regret,maximum_regret
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,2.5,0.025,0.5,100,6851.673850182695,6425.659193510702,426.0146566719932,6.6298980982718,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,2.5,0.05,0.5,100,6847.076255930089,6426.32619798842,420.75005794166833,6.547287594479287,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,2.5,0.1,0.5,100,6850.075263657753,6427.6602069438595,422.41505671389314,6.571832410455586,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,5.0,0.025,0.5,100,13028.226175539536,12107.4184305316,920.8077450079379,7.6053185928216775,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,5.0,0.05,0.5,100,13028.99023103813,12108.08543500932,920.9047960288117,7.605701173581973,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,5.0,0.1,0.5,100,13030.51834203531,12109.419443964756,921.0988980705533,7.606466208663885,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,10.0,0.025,0.5,100,25330.737267789533,23470.936904573387,1859.8003632161412,7.923843733965954,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,10.0,0.05,0.5,100,25331.506208960327,23471.603909051108,1859.9022999092194,7.924052856021504,False,True,,,,
m5_tight_capacity_end_to_end,M5,tight_capacity,1.0,10.0,0.1,0.5,100,25333.04409130191,23472.937918006548,1860.1061732953603,7.924471064478199,False,True,,,,
static_diagnostic_fixed_path,M5,strict_frozen,1.0,2.5,0.025,0.05,100,,,,,,False,0.5,0.84,26.857584414977964,869.81479546307
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,2.5,0.025,0.05,100,,,,,,False,0.56,0.75,20394.525466739007,265840.3289589705
static_diagnostic_fixed_path,M5,strict_frozen,1.0,2.5,0.05,0.05,100,,,,,,False,0.5,0.84,26.99982869108705,870.0914059703589
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,2.5,0.05,0.05,100,,,,,,False,0.61,0.75,20292.964045302982,265840.3289589707
static_diagnostic_fixed_path,M5,strict_frozen,1.0,2.5,0.1,0.05,100,,,,,,False,0.5,0.84,27.28431724330496,870.6446269849359
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,2.5,0.1,0.05,100,,,,,,False,0.62,0.76,20507.597482687288,265840.3289589705
static_diagnostic_fixed_path,M5,strict_frozen,1.0,5.0,0.025,0.05,100,,,,,,False,0.5,0.83,14.205575002087992,869.81479546307
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,5.0,0.025,0.05,100,,,,,,False,0.61,0.76,40850.16149073526,566444.8094939672
static_diagnostic_fixed_path,M5,strict_frozen,1.0,5.0,0.05,0.05,100,,,,,,False,0.5,0.83,14.079070266964635,870.0914059703589
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,5.0,0.05,0.05,100,,,,,,False,0.6,0.76,41568.865836610516,566444.8094939678
static_diagnostic_fixed_path,M5,strict_frozen,1.0,5.0,0.1,0.05,100,,,,,,False,0.5,0.83,14.102454390412245,870.6446269849359
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,5.0,0.1,0.05,100,,,,,,False,0.62,0.77,43006.27452836061,566444.8094939664
static_diagnostic_fixed_path,M5,strict_frozen,1.0,10.0,0.025,0.05,100,,,,,,False,0.5,0.85,26.58283964659151,869.81479546307
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,10.0,0.025,0.05,100,,,,,,False,0.61,0.75,71776.90963347512,1167653.7705639591
static_diagnostic_fixed_path,M5,strict_frozen,1.0,10.0,0.05,0.05,100,,,,,,False,0.5,0.85,26.324464223261995,870.0914059703589
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,10.0,0.05,0.05,100,,,,,,False,0.6,0.75,72243.61397334184,1167653.7705639591
static_diagnostic_fixed_path,M5,strict_frozen,1.0,10.0,0.1,0.05,100,,,,,,False,0.5,0.85,25.807713376604923,870.6446269849359
static_diagnostic_fixed_path,Walmart,strict_frozen,1.0,10.0,0.1,0.05,100,,,,,,False,0.62,0.76,73177.02265307482,1167653.7705639591
governance_fixed_path_accounting,M5,governance_fixed_K2,1.0,2.5,0.05,0.25,100,,,-10.186926041424881,-0.3270359073112017,True,False,,,,
governance_fixed_path_accounting,M5,governance_validation_q25,1.0,2.5,0.05,0.25,100,,,-10.186926041424881,-0.3270359073112017,True,False,,,,
governance_fixed_path_accounting,Walmart,governance_fixed_K2,1.0,2.5,0.05,0.25,100,,,9566.22517806369,0.8866826788241831,False,False,,,,
governance_fixed_path_accounting,Walmart,governance_validation_q25,1.0,2.5,0.05,0.25,100,,,-888.1530174651058,-0.08232190671588832,True,False,,,,
governance_fixed_path_accounting,M5,governance_fixed_K2,1.0,2.5,0.05,0.5,100,,,-10.91942604142488,-0.3504259982061213,True,False,,,,
governance_fixed_path_accounting,M5,governance_validation_q25,1.0,2.5,0.05,0.5,100,,,-10.91942604142488,-0.3504259982061213,True,False,,,,
governance_fixed_path_accounting,Walmart,governance_fixed_K2,1.0,2.5,0.05,0.5,100,,,9564.81517806369,0.8865504344295475,False,False,,,,
governance_fixed_path_accounting,Walmart,governance_validation_q25,1.0,2.5,0.05,0.5,100,,,-888.6605174651057,-0.08236880202619529,True,False,,,,
governance_fixed_path_accounting,M5,governance_fixed_K2,1.0,2.5,0.05,1.0,100,,,-12.38442604142488,-0.3971558860383818,True,False,,,,
