dataset,mechanism,level,strength,units,simple_reference_cost,approximate_dp_cost,mean_paired_difference,median_paired_difference,mean_percentage_difference,execution_path_difference_rate,ci_lower_95,ci_upper_95,adverse_units,unit_rank_correlation
M5,lead_time,high,7.0,100,9300.85066272291,6629.146793402935,-2671.7038693199775,-1652.8097800755509,-27.411562120573198,0.99,-3550.631006441846,-1905.012081664872,15,0.5555555555555556
M5,lead_time,low,0.0,100,4079.5684041934264,4101.417193924454,21.84878973102872,-97.67531706427451,5.236653769288453,0.99,-225.2268338896708,324.2053404679801,35,0.5555555555555556
M5,lead_time,medium,2.0,100,6159.349970192815,4869.533622856459,-1289.8163473363595,-745.7417915501319,-23.15759181739241,0.99,-1837.5470514375852,-797.4772674872409,17,0.5555555555555556
M5,switching_cost,high,0.2,100,6159.349970192815,4862.751544588034,-1296.5984256047836,-717.092296030028,-23.407533819725842,0.99,-1845.765159265829,-801.9026174297039,17,-0.6427674201637934
M5,switching_cost,low,0.0,100,6159.349970192815,4820.442370246505,-1338.9075999463157,-779.7581349050738,-24.25386524144069,0.99,-1872.990013586991,-873.279230514516,17,-0.6427674201637934
M5,switching_cost,medium,0.05,100,6159.349970192815,4869.533622856459,-1289.8163473363595,-745.7417915501319,-23.15759181739241,0.99,-1837.5470514375852,-797.4772674872409,17,-0.6427674201637934
Walmart,lead_time,high,7.0,100,2894495.0041406364,2633451.051718408,-261043.952422231,-82789.72694604495,-7.5172102804956396,0.99,-373080.738568664,-161927.13775350657,29,0.29
Walmart,lead_time,low,0.0,100,375029.8222024499,346756.3599291785,-28273.462273271332,-15938.032318597354,-6.692037645747295,0.98,-44512.91936458261,-11855.643565199658,34,0.29
Walmart,lead_time,medium,2.0,100,854955.5092779123,672129.2868250748,-182826.222452838,-57690.26631539632,-14.584106696137933,1.0,-274378.22046054085,-100897.00615280816,22,0.29
Walmart,switching_cost,high,0.2,100,854955.5092779123,672089.8777222289,-182865.6315556831,-57689.51631539638,-14.509500234426612,1.0,-274374.61913735536,-101017.03592618441,22,-0.955
Walmart,switching_cost,low,0.0,100,854955.5092779123,672034.3183671625,-182921.1909107499,-49011.392331072246,-14.563468476683113,1.0,-274609.2175866044,-100682.02152794824,22,-0.955
Walmart,switching_cost,medium,0.05,100,854955.5092779123,672129.2868250748,-182826.222452838,-57690.26631539632,-14.584106696137933,1.0,-274378.22046054085,-100897.00615280816,22,-0.955
