dataset,unit_id,mechanism,level,strength,simple_reference_cost,approximate_dp_cost,paired_difference,percentage_difference,execution_path_difference,adverse_unit
M5,FOODS_1_218__TX_2,lead_time,low,0.0,2009.6914173343378,3377.077402570499,1367.3859852361613,68.03959918632022,True,True
M5,FOODS_1_218__TX_2,lead_time,medium,2.0,2740.2899604716254,2540.884595004968,-199.40536546665726,-7.276798015650067,True,False
M5,FOODS_1_218__TX_2,lead_time,high,7.0,2935.236830357142,2507.5931919642853,-427.6436383928567,-14.569306093805846,True,False
M5,FOODS_1_218__TX_2,switching_cost,low,0.0,2740.2899604716254,2540.784595004968,-199.50536546665717,-7.280447264504838,True,False
M5,FOODS_1_218__TX_2,switching_cost,medium,0.05,2740.2899604716254,2540.884595004968,-199.40536546665726,-7.276798015650067,True,False
M5,FOODS_1_218__TX_2,switching_cost,high,0.2,2740.2899604716254,2541.1845950049683,-199.10536546665708,-7.26585026908574,True,False
M5,FOODS_2_197__CA_1,lead_time,low,0.0,5566.857786796796,4725.090207240427,-841.7675795563691,-15.121054134934662,True,False
M5,FOODS_2_197__CA_1,lead_time,medium,2.0,7725.989909730557,5953.969679787299,-1772.0202299432576,-22.93583412154698,True,False
M5,FOODS_2_197__CA_1,lead_time,high,7.0,11814.3472108999,8324.969333378796,-3489.377877521103,-29.535088272179845,True,False
M5,FOODS_2_197__CA_1,switching_cost,low,0.0,7725.989909730557,5953.819679787299,-1772.1702299432582,-22.937775620329052,True,False
M5,FOODS_2_197__CA_1,switching_cost,medium,0.05,7725.989909730557,5953.969679787299,-1772.0202299432576,-22.93583412154698,True,False
M5,FOODS_2_197__CA_1,switching_cost,high,0.2,7725.989909730557,5953.307293037251,-1772.682616693306,-22.94440760867015,True,False
M5,FOODS_2_197__CA_3,lead_time,low,0.0,383.5126067869999,332.3008990853689,-51.21170770163104,-13.3533309714832,True,False
M5,FOODS_2_197__CA_3,lead_time,medium,2.0,1473.156435044235,354.919051829753,-1118.237383214482,-75.90757889747834,True,False
M5,FOODS_2_197__CA_3,lead_time,high,7.0,2563.416569864527,637.7640845980227,-1925.6524852665043,-75.12054450706279,True,False
M5,FOODS_2_197__CA_3,switching_cost,low,0.0,1473.156435044235,358.1673244148908,-1114.9891106293442,-75.68708143313131,True,False
M5,FOODS_2_197__CA_3,switching_cost,medium,0.05,1473.156435044235,354.919051829753,-1118.237383214482,-75.90757889747834,True,False
M5,FOODS_2_197__CA_3,switching_cost,high,0.2,1473.156435044235,354.919051829753,-1118.237383214482,-75.90757889747834,True,False
M5,FOODS_2_276__CA_3,lead_time,low,0.0,324.63419594008695,393.2930821986708,68.65888625858383,21.149616127086997,True,True
M5,FOODS_2_276__CA_3,lead_time,medium,2.0,623.9930533972436,424.54023237797156,-199.452821019272,-31.963948946767722,True,False
M5,FOODS_2_276__CA_3,lead_time,high,7.0,1732.5539578446294,698.9805775900804,-1033.573380254549,-59.656057208189814,True,False
M5,FOODS_2_276__CA_3,switching_cost,low,0.0,623.9930533972436,420.69558952082866,-203.2974638764149,-32.58008446882383,True,False
M5,FOODS_2_276__CA_3,switching_cost,medium,0.05,623.9930533972436,424.54023237797156,-199.452821019272,-31.963948946767722,True,False
M5,FOODS_2_276__CA_3,switching_cost,high,0.2,623.9930533972436,424.8402323779715,-199.15282101927204,-31.91587148847446,True,False
M5,FOODS_2_360__CA_3,lead_time,low,0.0,6247.506143912804,6133.0794831505655,-114.4266607622385,-1.8315573946850614,True,False
M5,FOODS_2_360__CA_3,lead_time,medium,2.0,6468.967573282491,6455.540560403002,-13.427012879488757,-0.2075603676689263,True,False
M5,FOODS_2_360__CA_3,lead_time,high,7.0,7955.319642857146,8152.920727108002,197.60108425085582,2.4838861682732785,True,True
M5,FOODS_2_360__CA_3,switching_cost,low,0.0,6468.967573282491,6463.318041586498,-5.649531695992664,-0.08733281828967296,True,False
M5,FOODS_2_360__CA_3,switching_cost,medium,0.05,6468.967573282491,6455.540560403002,-13.427012879488757,-0.2075603676689263,True,False
M5,FOODS_2_360__CA_3,switching_cost,high,0.2,6468.967573282491,6457.190560403001,-11.77701287949003,-0.18205397918719393,True,False
M5,FOODS_2_360__TX_3,lead_time,low,0.0,8314.69525610117,8148.8974089653375,-165.79784713583194,-1.994033960705566,True,False
M5,FOODS_2_360__TX_3,lead_time,medium,2.0,9021.297275337543,7950.549513724566,-1070.7477616129772,-11.869110715819016,True,False
M5,FOODS_2_360__TX_3,lead_time,high,7.0,10701.141869470674,9007.942161539966,-1693.1997079307075,-15.82260779815697,True,False
M5,FOODS_2_360__TX_3,switching_cost,low,0.0,9021.297275337543,7896.019165334439,-1125.2781100031043,-12.473573097733892,True,False
M5,FOODS_2_360__TX_3,switching_cost,medium,0.05,9021.297275337543,7950.549513724566,-1070.7477616129772,-11.869110715819016,True,False
M5,FOODS_2_360__TX_3,switching_cost,high,0.2,9021.297275337543,8082.8642096425765,-938.4330656949669,-10.402418156205304,True,False
M5,FOODS_2_360__WI_2,lead_time,low,0.0,29700.85923527925,29959.054229954407,258.1949946751556,0.8693182666192587,True,False
M5,FOODS_2_360__WI_2,lead_time,medium,2.0,47595.09287137401,31189.233720799555,-16405.85915057445,-34.469644160399845,True,False
M5,FOODS_2_360__WI_2,lead_time,high,7.0,61689.34586356027,35785.9380124489,-25903.40785111137,-41.990083520098466,True,False
M5,FOODS_2_360__WI_2,switching_cost,low,0.0,47595.09287137401,31189.083720799554,-16406.009150574453,-34.469959318940255,True,False
M5,FOODS_2_360__WI_2,switching_cost,medium,0.05,47595.09287137401,31189.233720799555,-16405.85915057445,-34.469644160399845,True,False
M5,FOODS_2_360__WI_2,switching_cost,high,0.2,47595.09287137401,31189.683720799556,-16405.40915057445,-34.468698684778616,True,False
M5,FOODS_3_007__WI_2,lead_time,low,0.0,52668.3625,52668.662500000006,0.3000000000029104,0.0005696019123490128,False,False
M5,FOODS_3_007__WI_2,lead_time,medium,2.0,52704.6125,52704.912500000006,0.3000000000029104,0.0005692101426661857,False,False
M5,FOODS_3_007__WI_2,lead_time,high,7.0,52782.8625,52783.162500000006,0.3000000000029104,0.0005683662950316694,False,False
M5,FOODS_3_007__WI_2,switching_cost,low,0.0,52704.6125,52704.6125,0.0,0.0,False,False
M5,FOODS_3_007__WI_2,switching_cost,medium,0.05,52704.6125,52704.912500000006,0.3000000000029104,0.0005692101426661857,False,False
M5,FOODS_3_007__WI_2,switching_cost,high,0.2,52704.6125,52705.81249999999,1.1999999999898137,0.0022768405706233277,False,False
M5,FOODS_3_030__TX_2,lead_time,low,0.0,571.2505511868488,1306.018794307507,734.7682431206582,128.62451363838156,True,True
M5,FOODS_3_030__TX_2,lead_time,medium,2.0,1126.925159648374,3538.7758113522946,2411.8506517039204,214.02048140059915,True,True
M5,FOODS_3_030__TX_2,lead_time,high,7.0,2099.587227957393,4093.211936873265,1993.624708915872,94.95317376527348,True,True
M5,FOODS_3_030__TX_2,switching_cost,low,0.0,1126.925159648374,3538.675811352294,2411.75065170392,214.01160769686257,True,True
M5,FOODS_3_030__TX_2,switching_cost,medium,0.05,1126.925159648374,3538.7758113522946,2411.8506517039204,214.02048140059915,True,True
M5,FOODS_3_030__TX_2,switching_cost,high,0.2,1126.925159648374,3539.0758113522943,2412.1506517039206,214.04710251180887,True,True
M5,FOODS_3_030__TX_3,lead_time,low,0.0,294.0791121092628,239.2893541893788,-54.78975791988398,-18.630958699143267,True,False
M5,FOODS_3_030__TX_3,lead_time,medium,2.0,706.0088786846441,490.0763212165007,-215.9325574681434,-30.584963445565233,True,False
M5,FOODS_3_030__TX_3,lead_time,high,7.0,1622.610499234392,1364.2061850520108,-258.4043141823811,-15.925221382722833,True,False
M5,FOODS_3_030__TX_3,switching_cost,low,0.0,706.0088786846441,492.5110346602513,-213.49784402439275,-30.24010752133285,True,False
M5,FOODS_3_030__TX_3,switching_cost,medium,0.05,706.0088786846441,490.0763212165007,-215.9325574681434,-30.584963445565233,True,False
M5,FOODS_3_030__TX_3,switching_cost,high,0.2,706.0088786846441,490.4263212165006,-215.58255746814348,-30.53538899819398,True,False
M5,FOODS_3_080__CA_1,lead_time,low,0.0,752.3704576827818,486.4843041934719,-265.88615348930983,-35.339791823858945,True,False
M5,FOODS_3_080__CA_1,lead_time,medium,2.0,1399.4057134069742,641.2440295333098,-758.1616838736644,-54.17740378005563,True,False
M5,FOODS_3_080__CA_1,lead_time,high,7.0,1334.6458954615773,991.5945481776795,-343.0513472838978,-25.70354791862272,True,False
M5,FOODS_3_080__CA_1,switching_cost,low,0.0,1399.4057134069742,640.9654581047383,-758.4402553022359,-54.1973101893194,True,False
M5,FOODS_3_080__CA_1,switching_cost,medium,0.05,1399.4057134069742,641.2440295333098,-758.1616838736644,-54.17740378005563,True,False
M5,FOODS_3_080__CA_1,switching_cost,high,0.2,1399.4057134069742,641.6940295333098,-757.7116838736644,-54.145247272783365,True,False
M5,FOODS_3_080__TX_2,lead_time,low,0.0,669.9717031301094,692.8676188903053,22.895915760195862,3.4174451925694904,True,True
M5,FOODS_3_080__TX_2,lead_time,medium,2.0,705.629938939037,709.6894930812379,4.059554142200909,0.5753092262928536,True,False
M5,FOODS_3_080__TX_2,lead_time,high,7.0,2094.6313573439706,1129.2436684494883,-965.3876888944824,-46.0886678464802,True,False
M5,FOODS_3_080__TX_2,switching_cost,low,0.0,705.629938939037,734.1523767274996,28.52243778846264,4.042124095719079,True,True
M5,FOODS_3_080__TX_2,switching_cost,medium,0.05,705.629938939037,709.6894930812379,4.059554142200909,0.5753092262928536,True,False
M5,FOODS_3_080__TX_2,switching_cost,high,0.2,705.629938939037,709.8394930812378,4.209554142200886,0.5965668277242091,True,False
M5,FOODS_3_090__CA_1,lead_time,low,0.0,2639.5766959454522,8929.51061460129,6289.933918655837,238.29328120366998,True,True
M5,FOODS_3_090__CA_1,lead_time,medium,2.0,10234.43812647641,8778.559518607603,-1455.878607868808,-14.225291021130525,True,False
M5,FOODS_3_090__CA_1,lead_time,high,7.0,10462.066864132315,8326.724857108851,-2135.3420070234642,-20.410326513436612,True,False
M5,FOODS_3_090__CA_1,switching_cost,low,0.0,10234.43812647641,8778.259518607601,-1456.1786078688092,-14.228222300760084,True,False
M5,FOODS_3_090__CA_1,switching_cost,medium,0.05,10234.43812647641,8778.559518607603,-1455.878607868808,-14.225291021130525,True,False
M5,FOODS_3_090__CA_1,switching_cost,high,0.2,10234.43812647641,8779.059518607603,-1455.378607868808,-14.22040555508128,True,False
M5,FOODS_3_090__CA_2,lead_time,low,0.0,5603.491482954614,2467.1385835893416,-3136.3528993652726,-55.97140477335987,True,False
M5,FOODS_3_090__CA_2,lead_time,medium,2.0,5246.6204018410435,3558.985109070775,-1687.6352927702687,-32.1661405536043,True,False
M5,FOODS_3_090__CA_2,lead_time,high,7.0,14519.809045196875,6543.485188141007,-7976.323857055868,-54.934082343833715,True,False
M5,FOODS_3_090__CA_2,switching_cost,low,0.0,5246.6204018410435,3558.8851090707744,-1687.735292770269,-32.168046542456956,True,False
M5,FOODS_3_090__CA_2,switching_cost,medium,0.05,5246.6204018410435,3558.985109070775,-1687.6352927702687,-32.1661405536043,True,False
M5,FOODS_3_090__CA_2,switching_cost,high,0.2,5246.6204018410435,3559.2851090707745,-1687.335292770269,-32.16042258704635,True,False
M5,FOODS_3_090__CA_3,lead_time,low,0.0,3152.394001494845,11966.412440651715,8814.01843915687,279.5976148596057,True,True
M5,FOODS_3_090__CA_3,lead_time,medium,2.0,19868.54125420392,9140.620630703885,-10727.920623500035,-53.994505616914125,True,False
M5,FOODS_3_090__CA_3,lead_time,high,7.0,15889.042384370856,12105.249169440163,-3783.7932149306926,-23.813853115859228,True,False
M5,FOODS_3_090__CA_3,switching_cost,low,0.0,19868.54125420392,9140.370630703885,-10728.170623500035,-53.99576388744743,True,False
M5,FOODS_3_090__CA_3,switching_cost,medium,0.05,19868.54125420392,9140.620630703885,-10727.920623500035,-53.994505616914125,True,False
M5,FOODS_3_090__CA_3,switching_cost,high,0.2,19868.54125420392,9141.370630703885,-10727.170623500035,-53.99073080531419,True,False
M5,FOODS_3_090__CA_4,lead_time,low,0.0,991.7712835891679,1049.956984055437,58.18570046626917,5.866846664051232,True,True
M5,FOODS_3_090__CA_4,lead_time,medium,2.0,5282.8791298826745,1710.1106321518732,-3572.7684977308013,-67.62919252726019,True,False
M5,FOODS_3_090__CA_4,lead_time,high,7.0,5570.4152959725625,1742.2437498196841,-3828.1715461528784,-68.7232700391417,True,False
