planning_unit,regime,beam_width,rounding_multiplier,baseline_cost,approximate_dp_cost,relative_cost_change_pct
FOODS_1_218__TX_2,long_lead,48,0.05,2935.236830357142,2695.7256511186665,-8.159858746707442
FOODS_1_218__TX_2,long_lead,48,0.1,2935.236830357142,2943.4578124999994,0.28007900615832276
FOODS_1_218__TX_2,long_lead,48,0.2,2935.236830357142,2590.1466391771396,-11.756809113696422
FOODS_1_218__TX_2,long_lead,96,0.05,2935.236830357142,2514.7931919642847,-14.324010725284483
FOODS_1_218__TX_2,long_lead,96,0.1,2935.236830357142,3676.376393947962,25.249736441220737
FOODS_1_218__TX_2,long_lead,96,0.2,2935.236830357142,3676.376393947962,25.249736441220737
FOODS_1_218__TX_2,long_lead,192,0.05,2935.236830357142,2510.572209821428,-14.467814526708686
FOODS_1_218__TX_2,long_lead,192,0.1,2935.236830357142,2510.572209821428,-14.467814526708686
FOODS_1_218__TX_2,long_lead,192,0.2,2935.236830357142,2510.072209821428,-14.48484892730045
FOODS_1_218__TX_2,tight_capacity,48,0.05,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,48,0.1,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,48,0.2,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,96,0.05,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,96,0.1,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,96,0.2,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,192,0.05,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,192,0.1,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_1_218__TX_2,tight_capacity,192,0.2,6946.376633258926,6950.876633258926,0.0647819753748193
FOODS_2_197__CA_1,long_lead,48,0.05,11814.3472108999,8329.919333378795,-29.493190062218385
FOODS_2_197__CA_1,long_lead,48,0.1,11814.3472108999,8329.919333378795,-29.493190062218385
FOODS_2_197__CA_1,long_lead,48,0.2,11814.3472108999,8329.919333378795,-29.493190062218385
