dataset,scenario_id,strategy,total_dynamic_cost
M5,frozen_horizon,budgeted_dp,4479.491909340995
M5,frozen_horizon,dp,4750.945058008229
M5,frozen_horizon,greedy,6737.511884268693
M5,frozen_horizon,simple_ensemble_rate_limited,6150.453143517299
M5,governance_fixed_K2,budgeted_dp,5421.9690710705545
M5,governance_fixed_K2,dp,5427.724149383739
M5,governance_fixed_K2,greedy,5978.363924994922
M5,governance_fixed_K2,simple_ensemble_rate_limited,7560.484685985898
M5,governance_validation_q25,budgeted_dp,5421.9690710705545
M5,governance_validation_q25,dp,5427.724149383739
M5,governance_validation_q25,greedy,5978.363924994922
M5,governance_validation_q25,simple_ensemble_rate_limited,7560.484685985898
M5,high_switch_cost,budgeted_dp,4891.471035812565
M5,high_switch_cost,dp,4884.7587181409435
M5,high_switch_cost,greedy,5227.258279880152
M5,high_switch_cost,simple_ensemble_rate_limited,6150.453143517299
M5,long_lead,budgeted_dp,6443.339412804169
M5,long_lead,dp,6511.118593635893
M5,long_lead,greedy,8694.12621783002
M5,long_lead,simple_ensemble_rate_limited,9271.103451726654
M5,persistent_backlog,budgeted_dp,14052.656506990104
M5,persistent_backlog,dp,14011.650751952939
M5,persistent_backlog,greedy,16360.833109586283
M5,persistent_backlog,simple_ensemble_rate_limited,14432.984818311006
M5,strict_switch_budget,budgeted_dp,4867.432632071896
M5,strict_switch_budget,dp,4857.172657687083
M5,strict_switch_budget,greedy,5051.6825264356385
M5,strict_switch_budget,simple_ensemble_rate_limited,6150.453143517299
M5,tight_capacity,budgeted_dp,12849.462453333626
M5,tight_capacity,dp,13028.990231038135
M5,tight_capacity,greedy,13460.174727067342
M5,tight_capacity,simple_ensemble_rate_limited,12108.085435009318
Walmart,frozen_horizon,budgeted_dp,712849.0878999286
Walmart,frozen_horizon,dp,708036.1464763823
Walmart,frozen_horizon,greedy,1017325.5833801134
Walmart,frozen_horizon,simple_ensemble_rate_limited,857912.3108526134
Walmart,governance_fixed_K2,budgeted_dp,1282073.5679003468
Walmart,governance_fixed_K2,dp,1248798.8460004753
Walmart,governance_fixed_K2,greedy,1310327.4753712418
Walmart,governance_fixed_K2,simple_ensemble_rate_limited,1530492.8019852948
Walmart,governance_validation_q25,budgeted_dp,1247955.3989046821
Walmart,governance_validation_q25,dp,1248798.8460004753
Walmart,governance_validation_q25,greedy,1310327.4753712418
Walmart,governance_validation_q25,simple_ensemble_rate_limited,1530492.8019852948
Walmart,high_switch_cost,budgeted_dp,671302.6728249884
Walmart,high_switch_cost,dp,654389.7806695895
Walmart,high_switch_cost,greedy,677193.0929991273
Walmart,high_switch_cost,simple_ensemble_rate_limited,857912.3108526134
Walmart,long_lead,budgeted_dp,2626960.6354632825
Walmart,long_lead,dp,2624204.1985115325
Walmart,long_lead,greedy,2730528.0455968147
Walmart,long_lead,simple_ensemble_rate_limited,2897349.2270722026
Walmart,persistent_backlog,budgeted_dp,3316010.9350132067
Walmart,persistent_backlog,dp,3303867.8274438195
Walmart,persistent_backlog,greedy,3500441.3610719377
Walmart,persistent_backlog,simple_ensemble_rate_limited,3568582.57656872
Walmart,strict_switch_budget,budgeted_dp,694692.7471416413
Walmart,strict_switch_budget,dp,655196.6029657049
Walmart,strict_switch_budget,greedy,677180.4079991274
Walmart,strict_switch_budget,simple_ensemble_rate_limited,857912.3108526134
Walmart,tight_capacity,budgeted_dp,2795091.7057222114
Walmart,tight_capacity,dp,2787123.672117251
Walmart,tight_capacity,greedy,2915915.5803243686
Walmart,tight_capacity,simple_ensemble_rate_limited,2845833.248341941
