dataset,grain,transfer_regime,mechanism,treatment,comparator,total_dynamic_cost_difference,planning_execution_gap_rate_difference,plan_volatility_difference,fill_rate_difference,ending_backlog_difference
M5,category_store,family_frozen_parameter_recalibrated,ensemble_diversification,simple_ensemble,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,family_frozen_parameter_recalibrated,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,14.925356223371637,0.0032467532467531646,0.45403497869324383,-0.0007484289759538965,0.0
M5,category_store,family_frozen_parameter_recalibrated,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.0,0.0,0.0,0.0,0.0
M5,category_store,family_frozen_parameter_recalibrated,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,family_frozen_parameter_recalibrated,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,fully_in_domain_tuned,ensemble_diversification,simple_ensemble,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,fully_in_domain_tuned,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,14.925356223371637,0.0032467532467531646,0.45403497869324383,-0.0007484289759538965,0.0
M5,category_store,fully_in_domain_tuned,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.0,0.0,0.0,0.0,0.0
M5,category_store,fully_in_domain_tuned,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,fully_in_domain_tuned,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-6672.364149158682,-0.022727272727272818,-163.04574607475524,-0.0017021623318230206,-88.07756267299334
M5,category_store,strict_frozen,ensemble_diversification,simple_ensemble,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,strict_frozen,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,-82.81327093785512,0.00649350649350644,-2.743080357142844,-0.004973168827589802,-16.583743405032777
M5,category_store,strict_frozen,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.0,0.0,0.0,0.0,0.0
M5,category_store,strict_frozen,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,category_store,strict_frozen,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-7029.771153870795,-0.022727272727272818,-163.84056077296123,0.0014420548373712538,-90.523147751919
M5,department_store,family_frozen_parameter_recalibrated,ensemble_diversification,simple_ensemble,accuracy_first,-2096.839541518777,-0.0267857142857143,-75.07152958529502,0.00347935192699933,-35.96668278079116
M5,department_store,family_frozen_parameter_recalibrated,rate_limit_on_accuracy,accuracy_rate_limited,accuracy_first,419.6581558227517,0.0,0.38715035574784906,-0.0008589244286705822,4.5277813502720505
M5,department_store,family_frozen_parameter_recalibrated,rate_limit_on_ensemble,simple_ensemble_rate_limited,simple_ensemble,0.0,0.0,0.0,0.0,0.0
M5,department_store,family_frozen_parameter_recalibrated,combined_vs_accuracy,simple_ensemble_rate_limited,accuracy_first,-2096.839541518777,-0.0267857142857143,-75.07152958529502,0.00347935192699933,-35.96668278079116
M5,department_store,family_frozen_parameter_recalibrated,weighted_ensemble_vs_accuracy,operationally_weighted_ensemble,accuracy_first,-2096.839541518777,-0.0267857142857143,-75.07152958529502,0.00347935192699933,-35.96668278079116
