dataset,scenario_id,planning_unit,selected_budget_K,budget_rule,unconstrained_dp_switch_count,budgeted_dp_switch_count,switch_reduction,expected_nonbinding,expected_binding,unconstrained_path_exceedance,classification_basis,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,model_path_agreement,executed_plan_agreement,switch_count_agreement,unrounded_cost_agreement,operational_outcomes_agreement,dynamic_cost_difference,governance_cost_difference,unrounded_cost_difference,structural_equivalence,tie_flag,beam_width,state_rounding_rule,candidate_ordering,tie_breaking,implementation_branch_difference,numerical_tolerance,total_holding_cost_difference,total_shortage_cost_difference,total_order_change_cost_difference,total_expedite_cost_difference,total_switching_cost_difference,fill_rate_difference,average_on_hand_inventory_difference,ending_backlog_difference,total_lost_sales_difference,execution_violation_units_difference,planning_execution_gap_rate_difference,plan_volatility_difference,disagreement_diagnostic,n_expected_binding_units,n_total_units,expected_binding_rate,mean_effect_when_expected_binding,n_binding_units,activation_rate,mean_effect_when_binding
M5,long_lead,FOODS_2_197__CA_3,5,validation_q25,4.0,2.0,2.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,-4.093368235321691,-0.5,-4.093368235321691,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-4.004082521036025,0.0,0.41071428571428603,0.0,-0.5,0.0,-0.14300294717986617,0.0,0.0,0.9642857142857082,0.0357142857142857,8.214285714285722,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_090__WI_3,5,validation_q25,4.0,4.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,True,False,False,-0.5367187499996362,0.0,-0.5367187499996362,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,-0.5367187500000021,0.0,0.0,0.0,0.0,0.0,0.0,-12.336829675705758,0.0,-10.734375000000057,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_202__TX_2,5,validation_q25,4.0,5.0,-1.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,0.14657118131390234,0.25,0.14657118131390234,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,-0.10342881868657461,0.0,0.25,0.0,0.0,0.0,0.0,-31.19200555884595,0.0,-2.068576373731503,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_252__WI_3,5,validation_q25,5.0,3.0,2.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,-4.6785714285715585,-0.5,-4.6785714285715585,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-4.071428571428555,-4.547473508864641e-13,-0.10714285714284966,0.0,-0.5,0.0,-0.14540816326530148,-1.4210854715202004e-14,0.0,-0.7857142857144481,-0.0357142857142857,-2.1428571428569825,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_377__TX_2,5,validation_q25,4.0,2.0,2.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,9.23586428065937,-0.5,9.23586428065937,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,9.735864280659598,0.0,0.0,-0.5,-0.002596230474842587,0.0,0.0,0.0,-8.246063662828192,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_587__CA_1,5,validation_q25,2.0,4.0,-2.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,True,False,False,False,0.5,0.5,0.5,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,38.571428571428555,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_711__WI_2,5,validation_q25,5.0,5.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,True,False,False,0.08750000000009095,0.0,0.08750000000009095,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.08749999999999991,0.0,0.0,0.0,0.0,0.0,0.0,98.22752823891418,0.1071428571428572,1.75,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,long_lead,FOODS_3_804__CA_3,5,validation_q25,2.0,5.0,-3.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,-78.10791143148003,0.75,-78.10791143148003,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,54.70336849348109,-133.51127992496163,-0.050000000000000266,0.0,0.75,0.02972924151365286,1.9536917319100553,-8.567418661664107,0.0,34.09949793977984,-0.0357142857142857,-1.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,-106.35668966331266,63,0.63,-106.35668966331266
M5,persistent_backlog,FOODS_3_586__WI_3,14,validation_q25,13.0,14.0,-1.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,False,False,False,156.96497918788555,0.5,156.96497918788555,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,5.465294658498237,150.8279996950032,0.1716848343828974,0.0,0.5,0.040070703439441524,0.19518909494636816,5.632950741711539,0.0,126.78048617286777,-0.0357142857142857,3.433696687657978,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,63,100,0.63,62.59699245283631,63,0.63,62.59699245283631
Walmart,governance_validation_q25,store_004__dept_092,6,validation_q25,6.0,6.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,False,False,False,True,False,False,5370.468258765992,0.0,5370.468258765992,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,5215.531361323083,154.93689744295807,0.0,0.0,-0.0004645641505319764,0.0,-1.1641532182693481e-10,0.0,0.0,0.0,3098.7379488590523,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,65,100,0.65,-783.7592065706966,65,0.65,-783.7592065706966
