dataset,scenario_id,planning_unit,selected_budget_K,budget_rule,unconstrained_dp_switch_count,budgeted_dp_switch_count,switch_reduction,expected_nonbinding,expected_binding,unconstrained_path_exceedance,classification_basis,constraint_activated,rate_limit_binding,switch_budget_binding,path_agreement,model_path_agreement,executed_plan_agreement,switch_count_agreement,unrounded_cost_agreement,operational_outcomes_agreement,dynamic_cost_difference,governance_cost_difference,unrounded_cost_difference,structural_equivalence,tie_flag,beam_width,state_rounding_rule,candidate_ordering,tie_breaking,implementation_branch_difference,numerical_tolerance,total_holding_cost_difference,total_shortage_cost_difference,total_order_change_cost_difference,total_expedite_cost_difference,total_switching_cost_difference,fill_rate_difference,average_on_hand_inventory_difference,ending_backlog_difference,total_lost_sales_difference,execution_violation_units_difference,planning_execution_gap_rate_difference,plan_volatility_difference,disagreement_diagnostic,n_expected_binding_units,n_total_units,expected_binding_rate,mean_effect_when_expected_binding,n_binding_units,activation_rate,mean_effect_when_binding
M5,frozen_horizon,FOODS_1_218__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_197__CA_1,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_197__CA_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_276__CA_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_360__CA_3,0,validation_q25,3.0,0.0,3.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,472.25408245414565,-1.5,472.25408245414565,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-35.285714285714285,509.1987253112893,-0.15892857142857142,0.0,-1.5,-0.06456466000990613,-1.2602040816326516,3.767453846502079,0.0,155.22052352576634,0.03571428571428581,-3.178571428571427,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_360__TX_3,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_2_360__WI_2,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-0.5,-0.5,-0.5,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-0.5,0.0,0.0,0.0,0.0,241.62789629649433,0.0,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_007__WI_2,0,validation_q25,2.0,0.0,2.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,True,False,False,False,-1.0,-1.0,-1.0,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,249.42857142857247,0.0357142857142857,0.0,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_030__TX_2,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_030__TX_3,0,validation_q25,1.0,0.0,1.0,False,True,True,unconstrained_switch_count > K,True,False,True,False,False,False,False,False,False,-48.83143969770947,-0.5,-48.83143969770947,False,False,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,-35.14517839987042,-12.858439216798729,-0.3278220810402077,0.0,-0.5,0.00478899039731806,-1.255184942852516,0.0,0.0,-24.432460637073405,-0.0714285714285714,-6.556441620804151,branch-specific beam-pruning path: the budget feasibility filter changes the retained approximate state set despite a feasible unconstrained terminal path,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
M5,frozen_horizon,FOODS_3_080__CA_1,0,validation_q25,0.0,0.0,0.0,True,False,False,unconstrained_switch_count > K,False,False,False,True,True,True,True,True,True,0.0,0.0,0.0,True,True,96,0.10*validation_mean; floor=0.25,sorted model names,deterministic accumulated cost then model path,switch-budget feasibility filter only,1e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,none,48,100,0.48,-565.5273930567364,48,0.48,-565.5273930567364
