dataset,scenario_id,selected_budget_K,budget_rule,unconstrained_switch_min,unconstrained_switch_q25,unconstrained_switch_median,unconstrained_switch_q75,unconstrained_switch_max,constraint_activated,rate_limit_binding,switch_budget_binding,expected_nonbinding_count,expected_nonbinding_rate,expected_binding_count,expected_binding_rate,unconstrained_path_exceedance_rate,path_agreement,model_path_agreement,executed_plan_agreement,switch_count_agreement,unrounded_cost_agreement,operational_outcomes_agreement,n_expected_binding_units,n_binding_units,n_total_units,activation_rate,mean_effect_when_expected_binding,mean_effect_when_binding,switch_reduction,dynamic_cost_difference,governance_cost_difference,unrounded_cost_difference,structural_equivalence,tie_flag
M5,frozen_horizon,0,validation_q25,0.0,0.0,0.0,1.0,5.0,True,False,True,52,0.52,48,0.48,0.48,0.52,0.52,0.64,0.52,0.52,0.52,48,48,100,0.48,-565.5273930567364,-565.5273930567364,0.72,-271.45314866723345,-0.36,-271.45314866723345,False,False
M5,governance_fixed_K2,2,fixed_K2,0.0,2.0,4.0,6.0,19.0,True,False,True,37,0.37,63,0.63,0.63,0.37,0.37,0.59,0.37,0.37,0.37,63,63,100,0.63,-9.135044941564358,-9.135044941564358,2.93,-5.755078313185545,-1.465,-5.755078313185545,False,False
M5,governance_validation_q25,2,validation_q25,0.0,2.0,4.0,6.0,19.0,True,False,True,37,0.37,63,0.63,0.63,0.37,0.37,0.59,0.37,0.37,0.37,63,63,100,0.63,-9.135044941564358,-9.135044941564358,2.93,-5.755078313185545,-1.465,-5.755078313185545,False,False
M5,high_switch_cost,1,validation_q25,0.0,1.0,1.0,2.0,19.0,True,False,True,63,0.63,37,0.37,0.37,0.63,0.63,0.74,0.63,0.63,0.63,37,37,100,0.37,18.14139911249016,18.14139911249016,1.46,6.712317671621358,-2.92,6.712317671621358,False,False
M5,long_lead,5,validation_q25,0.0,4.0,7.0,10.0,17.0,True,False,True,37,0.37,63,0.63,0.63,0.29,0.29,0.45,0.31,0.29,0.29,63,63,100,0.63,-106.35668966331266,-106.35668966331266,3.4,-67.77918083172098,-0.85,-67.77918083172098,False,False
M5,persistent_backlog,14,validation_q25,0.0,13.0,16.0,18.0,23.0,True,False,True,37,0.37,63,0.63,0.63,0.36,0.36,0.74,0.36,0.36,0.36,63,63,100,0.63,62.59699245283631,62.59699245283631,2.48,41.00575503716573,-1.24,41.00575503716573,False,False
M5,strict_switch_budget,2,fixed_K2,0.0,1.0,2.0,3.0,19.0,True,False,True,61,0.61,39,0.39,0.39,0.61,0.61,0.72,0.61,0.61,0.61,39,39,100,0.39,26.30762662772755,26.30762662772755,1.59,10.259974384813745,-0.795,10.259974384813745,False,False
M5,tight_capacity,8,validation_q25,0.0,8.0,10.0,10.0,12.0,True,False,True,34,0.34,66,0.66,0.66,0.34,0.34,0.76,0.34,0.34,0.34,66,66,100,0.66,-272.01178440076785,-272.01178440076785,1.53,-179.52777770450678,-0.765,-179.52777770450678,False,False
Walmart,frozen_horizon,1,validation_q25,0.0,1.0,2.0,2.0,3.0,True,False,True,33,0.33,67,0.67,0.67,0.33,0.33,0.4,0.33,0.33,0.33,67,67,100,0.67,7183.49466200992,7183.49466200992,0.9,4812.941423546647,-0.45,4812.941423546647,False,False
Walmart,governance_fixed_K2,2,fixed_K2,1.0,6.0,8.0,9.25,12.0,True,False,True,1,0.01,99,0.99,0.99,0.01,0.01,0.07,0.01,0.01,0.01,99,99,100,0.99,33610.83020189041,33610.83020189041,5.64,33274.7218998715,-2.82,33274.7218998715,False,False
Walmart,governance_validation_q25,6,validation_q25,1.0,6.0,8.0,9.25,12.0,True,False,True,35,0.35,65,0.65,0.65,0.3,0.3,0.36,0.35,0.3,0.3,65,65,100,0.65,-783.7592065706966,-783.7592065706966,2.03,-843.4470957931661,-1.015,-843.4470957931661,False,False
Walmart,high_switch_cost,4,validation_q25,1.0,4.0,6.0,8.0,12.0,True,False,True,32,0.32,68,0.68,0.68,0.31,0.31,0.37,0.31,0.31,0.31,68,68,100,0.68,24871.87081676325,24871.87081676325,2.7,16912.89215539901,-5.4,16912.89215539901,False,False
Walmart,long_lead,7,validation_q25,1.0,6.0,8.0,9.0,12.0,True,False,True,42,0.42,58,0.58,0.58,0.38,0.38,0.49,0.4,0.39,0.38,58,58,100,0.58,4814.107039537545,4814.107039537545,1.35,2756.4369517488085,-0.3375,2756.4369517488085,False,False
Walmart,persistent_backlog,6,validation_q25,1.0,6.0,8.0,9.0,11.0,True,False,True,27,0.27,73,0.73,0.73,0.27,0.27,0.82,0.27,0.27,0.27,73,73,100,0.73,16634.39393066826,16634.39393066826,2.0,12143.107569387828,-1.0,12143.107569387828,False,False
Walmart,strict_switch_budget,2,fixed_K2,1.0,4.0,6.0,8.0,12.0,True,False,True,5,0.05,95,0.95,0.95,0.05,0.05,0.12,0.05,0.05,0.05,95,95,100,0.95,41574.88860624909,41574.88860624909,4.45,39496.14417593664,-2.225,39496.14417593664,False,False
Walmart,tight_capacity,4,validation_q25,0.0,3.0,4.0,5.0,6.0,True,False,True,66,0.66,34,0.34,0.34,0.66,0.66,0.89,0.66,0.66,0.66,34,34,100,0.34,23435.39295576421,23435.39295576421,0.55,7968.033604959832,-0.275,7968.033604959832,False,False
