dataset,comparison,scenario_id,treatment,comparator,block_length,observed_mean_paired_cost_difference,ci_lower_95,ci_upper_95,repetitions,planning_units
Favorita,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,7,-61241.675636808926,-86882.3399117331,-41015.308534766766,1000,100
Favorita,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,14,-61241.675636808926,-84721.00654129004,-40721.43401651679,1000,100
Favorita,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,28,-61241.675636808926,-81668.70287309015,-44856.16353921986,1000,100
Favorita,ensemble_rl_vs_feasibility,primary_transfer,simple_ensemble_rate_limited,feasibility_aware,7,-68539.10756370501,-94358.29153806115,-48584.943624383355,1000,100
Favorita,ensemble_rl_vs_feasibility,primary_transfer,simple_ensemble_rate_limited,feasibility_aware,14,-68539.10756370501,-93073.6180973009,-48089.037493334756,1000,100
Favorita,ensemble_rl_vs_feasibility,primary_transfer,simple_ensemble_rate_limited,feasibility_aware,28,-68539.10756370501,-89233.45553020279,-52146.11618382185,1000,100
M5,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,7,-1261.3463965094516,-2164.7924876522848,-430.021104608242,1000,100
M5,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,14,-1261.3463965094516,-2115.144637550966,-509.7742549462165,1000,100
M5,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,28,-1261.3463965094516,-2012.8920941802394,-525.9288822817106,1000,100
Walmart,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,4,-35354.84501632648,-109752.22911628646,34230.44051323464,1000,100
Walmart,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,8,-35354.84501632648,-109888.6146643387,34217.78628884279,1000,100
Walmart,ensemble_rl_vs_accuracy,primary_transfer,simple_ensemble_rate_limited,accuracy_first,13,-35354.84501632648,-101430.4279910285,32430.49933884173,1000,100
M5,dp_vs_ensemble_rl,frozen_horizon,dp,simple_ensemble_rate_limited,7,-1399.5080855090755,-2025.2687011084777,-822.4003729817871,1000,100
M5,dp_vs_ensemble_rl,frozen_horizon,dp,simple_ensemble_rate_limited,14,-1399.5080855090755,-2033.6187188638398,-793.1068976085995,1000,100
M5,dp_vs_ensemble_rl,frozen_horizon,dp,simple_ensemble_rate_limited,28,-1399.5080855090755,-1987.3846918569498,-868.9824668610927,1000,100
M5,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,7,-271.45314866723345,-490.154657150062,-104.89732867942297,1000,100
M5,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,14,-271.45314866723345,-503.4364715146302,-103.45640015003794,1000,100
M5,budgeted_dp_vs_dp,frozen_horizon,budgeted_dp,dp,28,-271.45314866723345,-469.7300074677883,-112.77951227378438,1000,100
M5,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,7,-2132.760536602161,-2851.6338032893877,-1509.626435224127,1000,100
M5,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,14,-2132.760536602161,-2875.110757250364,-1508.0158692078135,1000,100
M5,dp_vs_ensemble_rl,governance_fixed_K2,dp,simple_ensemble_rate_limited,28,-2132.760536602161,-2784.801994796107,-1564.5538628726576,1000,100
M5,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,7,-5.755078313185541,-187.51351886431254,163.01519606681896,1000,100
M5,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,14,-5.755078313185541,-180.05394982681332,164.34715774468094,1000,100
M5,budgeted_dp_vs_dp,governance_fixed_K2,budgeted_dp,dp,28,-5.755078313185541,-170.9740902211115,145.94855274341745,1000,100
M5,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,7,-2132.760536602161,-2851.6338032893877,-1509.626435224127,1000,100
M5,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,14,-2132.760536602161,-2875.110757250364,-1508.0158692078135,1000,100
M5,dp_vs_ensemble_rl,governance_validation_q25,dp,simple_ensemble_rate_limited,28,-2132.760536602161,-2784.801994796107,-1564.5538628726576,1000,100
M5,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,7,-5.755078313185541,-187.51351886431254,163.01519606681896,1000,100
M5,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,14,-5.755078313185541,-180.05394982681332,164.34715774468094,1000,100
M5,budgeted_dp_vs_dp,governance_validation_q25,budgeted_dp,dp,28,-5.755078313185541,-170.9740902211115,145.94855274341745,1000,100
M5,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,7,-1265.69442537636,-1855.3104872986073,-787.2143636606005,1000,100
M5,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,14,-1265.69442537636,-1833.4200528906736,-736.3240016127646,1000,100
M5,dp_vs_ensemble_rl,high_switch_cost,dp,simple_ensemble_rate_limited,28,-1265.69442537636,-1818.4781785269813,-801.9322003191858,1000,100
M5,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,7,6.712317671621383,-127.72932000285886,123.01954307289823,1000,100
M5,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,14,6.712317671621383,-127.61668196739468,120.68942624857954,1000,100
M5,budgeted_dp_vs_dp,high_switch_cost,budgeted_dp,dp,28,6.712317671621383,-125.3148771110399,124.33635024750853,1000,100
M5,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,7,-2759.9848580907646,-3740.593029851233,-1920.1621318270736,1000,100
M5,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,14,-2759.9848580907646,-3748.07234973946,-1908.1540651795779,1000,100
M5,dp_vs_ensemble_rl,long_lead,dp,simple_ensemble_rate_limited,28,-2759.9848580907646,-3623.6740765151276,-2013.3308425409994,1000,100
M5,budgeted_dp_vs_dp,long_lead,budgeted_dp,dp,7,-67.77918083172095,-242.03076239503653,74.64531752320036,1000,100
M5,budgeted_dp_vs_dp,long_lead,budgeted_dp,dp,14,-67.77918083172095,-233.3667500893763,75.23029731635462,1000,100
