period,date,actual_demand,candidate_forecasts,selected_forecast_model,selected_forecast,desired_order,executed_order,inventory,backlog,on_order_pipeline,capacity,switch_event,rate_limit_activation,governance_binding,period_cost,cumulative_cost,policy
0,2012-08-03,111969.14,"{""exponential_smoothing"": 109281.83228627399, ""global_sklearn"": 111903.55299872698, ""moving_average_13"": 113184.4853846156, ""moving_average_4"": 108636.69750000132, ""naive_last_value"": 104899.47, ""seasonal_4_week"": 117416.4}",simple_ensemble,110887.07302826965,0.0,56592.24269230769,793506.7430769231,0.0,56592.24269230769,141480.60673076924,0.0,,False,796336.3552115385,796336.3552115385,simple
1,2012-08-10,114345.83,"{""exponential_smoothing"": 110088.02460039179, ""global_sklearn"": 107696.4540144916, ""moving_average_13"": 112915.22153846174, ""moving_average_4"": 107274.88250000132, ""naive_last_value"": 111969.14, ""seasonal_4_week"": 101404.56}",simple_ensemble,108558.04710889107,21202.081944806152,28296.121346153846,679160.9130769231,0.0,84888.36403846154,141480.60673076924,0.0,,False,680575.7191442308,1476912.0743557694,simple
2,2012-08-17,119343.17,"{""exponential_smoothing"": 111365.36622027424, ""global_sklearn"": 110780.41010126013, ""moving_average_13"": 113148.44923076943, ""moving_average_4"": 110510.20000000132, ""naive_last_value"": 114345.83, ""seasonal_4_week"": 110826.36}",simple_ensemble,111829.43592538417,133422.901130597,42444.18201923077,559817.7430769231,0.0,127332.54605769232,141480.60673076924,0.0,,False,560525.1461105769,2037437.2204663465,simple
3,2012-08-24,116506.74,"{""exponential_smoothing"": 113758.70735419197, ""global_sklearn"": 111341.34492823275, ""moving_average_13"": 113867.5200000002, ""moving_average_4"": 112639.40250000132, ""naive_last_value"": 119343.17, ""seasonal_4_week"": 104899.47}",simple_ensemble,112641.6024637377,216819.2214181946,63666.27302884616,443311.0030769231,0.0,190998.81908653848,141480.60673076924,0.0,,False,444372.10762740386,2481809.3280937504,simple
4,2012-08-31,132120.7,"{""exponential_smoothing"": 114583.11714793438, ""global_sklearn"": 114949.27924257386, ""moving_average_13"": 113568.97461538481, ""moving_average_4"": 115541.22000000131, ""naive_last_value"": 116506.74, ""seasonal_4_week"": 111969.14}",simple_ensemble,114519.74516764906,284684.83002063923,95499.40954326924,311190.30307692307,0.0,286498.2286298077,141480.60673076924,0.0,,False,312781.9599026442,2794591.2879963946,simple
5,2012-09-07,120421.13,"{""exponential_smoothing"": 119844.39200355407, ""global_sklearn"": 122371.88218788439, ""moving_average_13"": 114455.98615384634, ""moving_average_4"": 120579.11000000131, ""naive_last_value"": 132120.7, ""seasonal_4_week"": 114345.83}",simple_ensemble,120619.65005754768,370105.35959655896,141480.60673076924,190769.17307692306,0.0,427978.835360577,141480.60673076924,0.0,,False,193068.23293629807,2987659.5209326926,simple
6,2012-09-14,111668.96,"{""exponential_smoothing"": 120017.41340248784, ""global_sklearn"": 121730.17649913975, ""moving_average_13"": 114661.28538461556, ""moving_average_4"": 122097.93500000131, ""naive_last_value"": 120421.13, ""seasonal_4_week"": 119343.17}",simple_ensemble,119711.85171437409,341783.49612040096,141480.60673076924,79100.21307692306,0.0,569459.4420913463,141480.60673076924,0.0,,False,79100.21307692306,3066759.7340096156,simple
7,2012-09-21,117354.13,"{""exponential_smoothing"": 117512.87738174148, ""global_sklearn"": 116018.50393147852, ""moving_average_13"": 114414.72230769249, ""moving_average_4"": 120179.38250000132, ""naive_last_value"": 111668.96, ""seasonal_4_week"": 116506.74}",simple_ensemble,116050.19768681897,282678.6171691908,141480.60673076924,18338.325769230752,0.0,654347.8061298078,141480.60673076924,0.0,,False,18338.325769230752,3085098.0597788463,simple
8,2012-09-28,112176.91,"{""exponential_smoothing"": 117465.25316721902, ""global_sklearn"": 123045.08378093531, ""moving_average_13"": 114865.17769230787, ""moving_average_4"": 120391.23000000132, ""naive_last_value"": 117354.13, ""seasonal_4_week"": 132120.7}",simple_ensemble,120873.59577341059,297139.3251311545,141480.60673076924,0.0,65542.46288461541,767532.2915144232,141480.60673076924,0.0,,False,327712.31442307704,3412810.3742019236,simple
9,2012-10-05,117713.63,"{""exponential_smoothing"": 115878.75021705331, ""global_sklearn"": 119178.89564753347, ""moving_average_13"": 114650.26923076941, ""moving_average_4"": 115405.28250000131, ""naive_last_value"": 112176.91, ""seasonal_4_week"": 120421.13}",simple_ensemble,116285.2062658929,231128.5123402438,141480.60673076924,0.0,140811.91086538465,866568.7162259617,141480.60673076924,0.0,,False,704059.5543269232,4116869.9285288467,simple
