period,date,actual_demand,candidate_forecasts,selected_forecast_model,selected_forecast,desired_order,executed_order,inventory,backlog,on_order_pipeline,capacity,switch_event,rate_limit_activation,governance_binding,period_cost,cumulative_cost,policy
0,2016-03-28,0.0,"{""exponential_smoothing"": 6.683413227609913e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,1.6708533069024782e-09,0.0,0.5,3.0,0.0,0.5,1.25,0.0,,False,3.025,3.025,simple
1,2016-03-29,0.0,"{""exponential_smoothing"": 4.6783892593269385e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,1.1695973148317346e-09,0.0,0.0,3.0,0.0,0.5,1.25,0.0,,False,3.025,6.05,simple
2,2016-03-30,0.0,"{""exponential_smoothing"": 3.2748724815288566e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,8.187181203822141e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,9.55,simple
3,2016-03-31,0.0,"{""exponential_smoothing"": 2.2924107370701994e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,5.731026842675499e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,13.05,simple
4,2016-04-01,0.0,"{""exponential_smoothing"": 1.6046875159491395e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,4.0117187898728487e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,16.55,simple
5,2016-04-02,0.0,"{""exponential_smoothing"": 1.1232812611643976e-09, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,2.808203152910994e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,20.05,simple
6,2016-04-03,0.0,"{""exponential_smoothing"": 7.862968828150784e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,1.965742207037696e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,23.55,simple
7,2016-04-04,0.0,"{""exponential_smoothing"": 5.504078179705548e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,1.376019544926387e-10,0.0,0.0,3.5,0.0,0.0,1.25,0.0,,False,3.5,27.05,simple
8,2016-04-05,4.0,"{""exponential_smoothing"": 3.8528547257938836e-10, ""moving_average"": 0.0, ""naive_last_value"": 0.0, ""seasonal_naive"": 0.0}",simple_ensemble,9.632136814484709e-11,0.0,0.0,0.0,0.5,0.0,1.25,0.0,,False,2.5,29.55,simple
9,2016-04-06,75.0,"{""exponential_smoothing"": 1.2000000002696998, ""moving_average"": 0.14285714285714285, ""naive_last_value"": 4.0, ""seasonal_naive"": 0.0}",simple_ensemble,1.3357142857817106,0.9000000002889641,0.5,0.0,75.5,0.5,1.25,0.0,,False,377.525,407.075,simple
10,2016-04-07,128.0,"{""exponential_smoothing"": 23.34000000018879, ""moving_average"": 2.8214285714285716, ""naive_last_value"": 75.0, ""seasonal_naive"": 0.0}",simple_ensemble,25.29035714290434,75.80000000028896,1.0,0.0,203.5,1.5,1.25,0.0,,False,1017.525,1424.6,simple
11,2016-04-08,87.0,"{""exponential_smoothing"": 54.738000000132146, ""moving_average"": 7.392857142857143, ""naive_last_value"": 128.0, ""seasonal_naive"": 0.0}",simple_ensemble,47.532714285747325,203.20000000028895,1.25,0.0,290.0,2.25,1.25,0.0,,False,1450.0125,2874.6125,simple
12,2016-04-09,85.0,"{""exponential_smoothing"": 64.4166000000925, ""moving_average"": 10.5, ""naive_last_value"": 87.0, ""seasonal_naive"": 0.0}",simple_ensemble,40.479150000023125,289.43000000040456,1.25,0.0,374.0,2.5,1.25,0.0,,False,1870.0,4744.6125,simple
13,2016-04-10,89.0,"{""exponential_smoothing"": 70.59162000006475, ""moving_average"": 13.535714285714286, ""naive_last_value"": 85.0, ""seasonal_naive"": 0.0}",simple_ensemble,42.281833571444764,373.85200000056636,1.25,0.0,461.75,2.5,1.25,0.0,,False,2308.75,7053.3625,simple
14,2016-04-11,12.0,"{""exponential_smoothing"": 76.11413400004533, ""moving_average"": 16.714285714285715, ""naive_last_value"": 89.0, ""seasonal_naive"": 0.0}",simple_ensemble,45.45710492858276,462.5428000007929,1.25,0.0,472.5,2.5,1.25,0.0,,False,2362.5,9415.8625,simple
15,2016-04-12,1.0,"{""exponential_smoothing"": 56.879893800031724, ""moving_average"": 17.142857142857142, ""naive_last_value"": 12.0, ""seasonal_naive"": 4.0}",simple_ensemble,22.505687735722216,474.6099200011101,1.25,0.0,472.25,2.5,1.25,0.0,,False,2361.25,11777.1125,simple
16,2016-04-13,3.0,"{""exponential_smoothing"": 40.1159256600222, ""moving_average"": 17.178571428571427, ""naive_last_value"": 1.0, ""seasonal_naive"": 75.0}",simple_ensemble,33.32362427214841,476.2038880015541,1.25,0.0,474.0,2.5,1.25,0.0,,False,2370.0,14147.1125,simple
17,2016-04-14,43.0,"{""exponential_smoothing"": 28.981147962015537, ""moving_average"": 17.285714285714285, ""naive_last_value"": 3.0, ""seasonal_naive"": 128.0}",simple_ensemble,44.316715561932455,480.53544320217577,1.25,0.0,515.75,2.5,1.25,0.0,,False,2578.75,16725.8625,simple
18,2016-04-15,121.0,"{""exponential_smoothing"": 33.18680357341088, ""moving_average"": 18.821428571428573, ""naive_last_value"": 43.0, ""seasonal_naive"": 87.0}",simple_ensemble,45.50205803620986,525.8996204830461,1.25,0.0,635.5,2.5,1.25,0.0,,False,3177.5,19903.3625,simple
19,2016-04-16,5.0,"{""exponential_smoothing"": 59.53076250138761, ""moving_average"": 23.142857142857142, ""naive_last_value"": 121.0, ""seasonal_naive"": 85.0}",simple_ensemble,72.16840491106119,650.7094686762645,1.25,0.0,639.25,2.5,1.25,0.0,,False,3196.25,23099.6125,simple
20,2016-04-17,0.0,"{""exponential_smoothing"": 43.17153375097133, ""moving_average"": 23.321428571428573, ""naive_last_value"": 5.0, ""seasonal_naive"": 89.0}",simple_ensemble,40.123240580599976,661.5432561467703,1.25,0.0,638.0,2.5,1.25,0.0,,False,3190.0,26289.6125,simple
