transfer_regime,strategy,stress_period,total_dynamic_cost
family_frozen_parameter_recalibrated,accuracy_first,holiday_or_markdown_stress,124756.43920641059
family_frozen_parameter_recalibrated,accuracy_first,ordinary,50284.29381997287
family_frozen_parameter_recalibrated,accuracy_rate_limited,holiday_or_markdown_stress,124756.43913124198
family_frozen_parameter_recalibrated,accuracy_rate_limited,ordinary,50284.36864186373
family_frozen_parameter_recalibrated,best_single_model_rate_limited,holiday_or_markdown_stress,124756.43913124198
family_frozen_parameter_recalibrated,best_single_model_rate_limited,ordinary,50284.36864186373
family_frozen_parameter_recalibrated,operationally_weighted_ensemble,holiday_or_markdown_stress,115017.40598605374
family_frozen_parameter_recalibrated,operationally_weighted_ensemble,ordinary,49789.63312992657
family_frozen_parameter_recalibrated,simple_ensemble,holiday_or_markdown_stress,115017.40598605368
family_frozen_parameter_recalibrated,simple_ensemble,ordinary,49789.63312992656
family_frozen_parameter_recalibrated,simple_ensemble_rate_limited,holiday_or_markdown_stress,115017.40591088509
family_frozen_parameter_recalibrated,simple_ensemble_rate_limited,ordinary,49789.70795181742
fully_in_domain_tuned,accuracy_first,holiday_or_markdown_stress,124756.43920641059
fully_in_domain_tuned,accuracy_first,ordinary,50284.29381997287
fully_in_domain_tuned,accuracy_rate_limited,holiday_or_markdown_stress,124756.43913124198
fully_in_domain_tuned,accuracy_rate_limited,ordinary,50284.36864186373
fully_in_domain_tuned,best_single_model_rate_limited,holiday_or_markdown_stress,124756.43913124198
fully_in_domain_tuned,best_single_model_rate_limited,ordinary,50284.36864186373
fully_in_domain_tuned,operationally_weighted_ensemble,holiday_or_markdown_stress,117113.39035273744
fully_in_domain_tuned,operationally_weighted_ensemble,ordinary,49856.022369727114
fully_in_domain_tuned,simple_ensemble,holiday_or_markdown_stress,115017.40598605368
fully_in_domain_tuned,simple_ensemble,ordinary,49789.63312992656
fully_in_domain_tuned,simple_ensemble_rate_limited,holiday_or_markdown_stress,115017.40591088509
fully_in_domain_tuned,simple_ensemble_rate_limited,ordinary,49789.70795181742
strict_frozen,accuracy_first,holiday_or_markdown_stress,124756.43920641059
strict_frozen,accuracy_first,ordinary,50284.29381997287
strict_frozen,accuracy_rate_limited,holiday_or_markdown_stress,124756.43913124198
strict_frozen,accuracy_rate_limited,ordinary,50284.36864186373
strict_frozen,best_single_model_rate_limited,holiday_or_markdown_stress,124756.43913124198
strict_frozen,best_single_model_rate_limited,ordinary,50284.36864186373
strict_frozen,operationally_weighted_ensemble,holiday_or_markdown_stress,115017.40598605374
strict_frozen,operationally_weighted_ensemble,ordinary,49789.63312992657
strict_frozen,simple_ensemble,holiday_or_markdown_stress,115017.40598605368
strict_frozen,simple_ensemble,ordinary,49789.63312992656
strict_frozen,simple_ensemble_rate_limited,holiday_or_markdown_stress,115017.40591088509
strict_frozen,simple_ensemble_rate_limited,ordinary,49789.70795181742
